CustomerID,Passport,NumberOfTrips,CityTier,NumberOfFollowups,DurationOfPitch,MonthlyIncome,Occupation,PreferredPropertyStar,OwnCar,Designation,TypeofContact,NumberOfPersonVisiting,ProductPitched,Age,MaritalStatus,DeviceUsed,Gender,PitchSatisfactionScore,ProductTaken,NumberOfChildrenVisiting
200000,Yes,1.0,Tier 3 City,3.0,6.0,20993.0,Salaried,3.0,Yes,Manager,Self Enquiry,3,Deluxe,41.0,Single,Mobile,Female,2,Yes,0.0
200001,No,2.0,Tier 1 City,4.0,14.0,20130.0,Salaried,4.0,Yes,Manager,Company Invited,3,Deluxe,49.0,Divorced,Desktop,Male,3,No,2.0
200002,Yes,7.0,Tier 1 City,4.0,8.0,17090.0,Free Lancer,3.0,No,Executive,Self Enquiry,3,Basic,37.0,Single,Desktop,Male,3,Yes,0.0
200003,Yes,2.0,Tier 1 City,3.0,9.0,17909.0,Salaried,3.0,Yes,Executive,Company Invited,2,Basic,33.0,Divorced,Desktop,Female,5,No,1.0
200004,No,1.0,Tier 1 City,3.0,8.0,18468.0,Small Business,4.0,Yes,Executive,Self Enquiry,2,Basic,,Divorced,Desktop,Male,5,No,0.0
200005,No,1.0,Tier 1 City,3.0,8.0,18068.0,Salaried,3.0,Yes,Executive,Company Invited,3,Basic,32.0,Single,Desktop,Male,5,No,1.0
200006,Yes,5.0,Tier 1 City,2.0,9.0,17670.0,Small Business,5.0,Yes,Executive,Self Enquiry,2,Basic,59.0,Divorced,Desktop,Female,2,No,1.0
200007,No,2.0,Tier 1 City,3.0,30.0,17693.0,Salaried,3.0,No,Executive,Self Enquiry,3,Basic,30.0,Married,Desktop,Male,2,No,1.0
200008,No,1.0,Tier 1 City,4.0,29.0,24526.0,Salaried,3.0,No,Senior Manager,Company Invited,2,Standard,38.0,Unmarried,Desktop,Male,3,No,0.0
200009,No,7.0,Tier 1 City,3.0,33.0,20237.0,Small Business,3.0,Yes,Manager,Self Enquiry,3,Deluxe,36.0,Divorced,Desktop,Male,3,No,0.0
200010,No,1.0,Tier 1 City,2.0,22.0,17426.0,Small Business,4.0,Yes,Executive,Self Enquiry,2,Basic,35.0,Divorced,Desktop,Male,3,No,1.0
200011,Yes,1.0,Tier 1 City,4.0,21.0,,Salaried,3.0,No,Manager,Self Enquiry,2,Deluxe,,Single,Desktop,Female,3,No,0.0
200012,No,2.0,Tier 1 City,3.0,32.0,17911.0,Salaried,3.0,No,Executive,Self Enquiry,2,Basic,31.0,Married,Desktop,Male,3,No,1.0
200013,No,1.0,Tier 1 City,3.0,25.0,17661.0,Small Business,3.0,No,Executive,Self Enquiry,3,Basic,34.0,Married,Desktop,Male,3,No,2.0
200014,Yes,6.0,Tier 1 City,4.0,30.0,17028.0,Salaried,3.0,No,Executive,Self Enquiry,2,Basic,28.0,Single,Desktop,Male,2,Yes,0.0
200015,No,2.0,Tier 1 City,2.0,27.0,24980.0,Salaried,5.0,Yes,Senior Manager,Self Enquiry,2,Standard,29.0,Married,Desktop,Female,5,No,1.0
200016,Yes,1.0,Tier 1 City,2.0,11.0,18298.0,Salaried,4.0,Yes,Executive,Self Enquiry,3,Basic,32.0,Married,Desktop,Male,2,No,0.0
200017,Yes,2.0,Tier 1 City,2.0,22.0,17935.0,Small Business,3.0,No,Executive,Company Invited,3,Basic,22.0,Married,Desktop,Male,3,No,0.0
200018,No,3.0,Tier 3 City,4.0,8.0,30427.0,Salaried,3.0,Yes,AVP,Self Enquiry,3,Super Deluxe,53.0,Divorced,Mobile,Female,3,No,0.0
200019,Yes,6.0,Tier 1 City,3.0,8.0,,Salaried,3.0,No,Executive,Self Enquiry,2,Basic,,Single,Desktop,Male,4,No,1.0
200020,No,1.0,Tier 1 City,2.0,17.0,,Salaried,3.0,Yes,Manager,Company Invited,3,Deluxe,,Married,Desktop,Female,3,No,2.0
200021,No,1.0,Tier 3 City,4.0,15.0,18407.0,Salaried,5.0,No,Manager,Self Enquiry,2,Deluxe,,Single,Mobile,Male,2,Yes,0.0
200022,No,1.0,Tier 1 City,3.0,13.0,26994.0,Salaried,4.0,Yes,Senior Manager,Self Enquiry,2,Standard,34.0,Unmarried,Desktop,,3,No,0.0
200023,No,2.0,Tier 1 City,3.0,21.0,16232.0,Salaried,3.0,Yes,Executive,Self Enquiry,3,Basic,21.0,Single,Desktop,Male,3,No,1.0
200024,No,3.0,Tier 1 City,3.0,12.0,17960.0,Small Business,5.0,Yes,Executive,Self Enquiry,2,Basic,34.0,Single,Desktop,Male,2,Yes,1.0
200025,No,5.0,Tier 1 City,3.0,11.0,34094.0,Salaried,3.0,No,VP,Self Enquiry,2,King,53.0,Married,Desktop,Female,5,No,1.0
200026,Yes,2.0,Tier 1 City,5.0,22.0,,Salaried,5.0,Yes,Executive,Company Invited,3,Basic,,Single,Desktop,Female,4,Yes,2.0
200027,No,1.0,Tier 3 City,3.0,14.0,21825.0,Small Business,4.0,No,Manager,Self Enquiry,2,Deluxe,42.0,Divorced,Mobile,Male,3,No,1.0
200028,No,4.0,Tier 1 City,4.0,13.0,25248.0,Small Business,3.0,Yes,Senior Manager,Self Enquiry,2,Standard,44.0,Divorced,Desktop,Female,4,No,0.0
200029,No,4.0,Tier 3 City,3.0,8.0,33947.0,Small Business,5.0,No,VP,Self Enquiry,2,King,46.0,Single,Mobile,Female,2,No,1.0
200030,No,5.0,Tier 1 City,3.0,8.0,17496.0,Small Business,3.0,Yes,Executive,Self Enquiry,3,Basic,33.0,Single,Desktop,Male,3,No,2.0
200031,Yes,3.0,Tier 1 City,3.0,16.0,21465.0,Salaried,3.0,Yes,Manager,Self Enquiry,2,Deluxe,44.0,Divorced,Desktop,Male,3,No,1.0
200032,No,2.0,Tier 1 City,4.0,15.0,17206.0,Small Business,3.0,Yes,Executive,Self Enquiry,2,Basic,30.0,Single,Desktop,Male,4,No,1.0
200033,No,4.0,Tier 3 City,3.0,11.0,17086.0,Large Business,3.0,No,Manager,Self Enquiry,2,Deluxe,39.0,Divorced,Mobile,Male,2,Yes,1.0
200034,Yes,3.0,Tier 1 City,3.0,6.0,17293.0,Small Business,3.0,Yes,Executive,Self Enquiry,3,Basic,24.0,Divorced,Desktop,Male,3,Yes,2.0
200035,No,2.0,Tier 1 City,2.0,8.0,17645.0,Small Business,3.0,No,Executive,Self Enquiry,3,Basic,43.0,Married,Desktop,Female,2,No,1.0
200036,Yes,2.0,Tier 3 City,4.0,9.0,17683.0,Small Business,3.0,No,Executive,Self Enquiry,2,Basic,50.0,Divorced,Mobile,Male,4,Yes,0.0
200037,No,2.0,Tier 3 City,3.0,8.0,17014.0,Small Business,3.0,Yes,Executive,Self Enquiry,3,Basic,35.0,Divorced,Mobile,Female,2,No,0.0
200038,Yes,1.0,Tier 1 City,4.0,11.0,95000.0,Salaried,,Yes,Executive,Self Enquiry,2,Basic,36.0,Divorced,Desktop,Female,2,No,0.0
200039,No,3.0,Tier 3 City,2.0,6.0,20376.0,Salaried,5.0,Yes,Manager,Company Invited,2,Deluxe,33.0,Divorced,Mobile,Female,3,No,0.0
200040,No,2.0,Tier 1 City,3.0,10.0,16951.0,Salaried,3.0,No,Executive,Self Enquiry,3,Basic,35.0,Married,Desktop,Male,4,No,0.0
200041,No,2.0,Tier 1 City,3.0,8.0,17341.0,Salaried,5.0,No,Executive,Self Enquiry,2,Basic,27.0,Married,Desktop,Female,3,No,1.0
200042,No,2.0,Tier 1 City,5.0,31.0,17293.0,Salaried,3.0,Yes,Executive,Self Enquiry,2,Basic,26.0,Single,Desktop,Male,2,Yes,1.0
200043,No,2.0,Tier 3 City,3.0,14.0,23726.0,Salaried,3.0,Yes,Senior Manager,Company Invited,2,Standard,27.0,Unmarried,Mobile,Male,2,No,0.0
200044,No,2.0,Tier 1 City,3.0,6.0,,Small Business,3.0,Yes,Manager,Company Invited,2,Deluxe,,Single,Desktop,Female,3,No,0.0
200045,No,2.0,Tier 1 City,3.0,18.0,34545.0,Large Business,3.0,Yes,VP,Self Enquiry,2,King,41.0,Divorced,Desktop,Female,4,Yes,0.0
200046,No,1.0,Tier 3 City,3.0,,19568.0,Small Business,3.0,Yes,Manager,Company Invited,3,Deluxe,34.0,Single,Mobile,Male,5,No,1.0
200047,No,5.0,Tier 1 City,3.0,25.0,18022.0,Salaried,4.0,Yes,Executive,Self Enquiry,3,Basic,37.0,Divorced,Desktop,Male,4,No,1.0
200048,Yes,5.0,Tier 3 City,3.0,11.0,20772.0,Small Business,3.0,Yes,Manager,Company Invited,3,Deluxe,46.0,Single,Mobile,Male,5,No,1.0
200049,No,2.0,Tier 1 City,2.0,14.0,17269.0,Salaried,3.0,Yes,Executive,Self Enquiry,2,Basic,35.0,Divorced,Desktop,Male,5,No,1.0
200050,Yes,1.0,Tier 1 City,4.0,6.0,20381.0,Salaried,3.0,No,Senior Manager,Self Enquiry,3,Standard,48.0,Single,Desktop,Male,5,Yes,2.0
200051,Yes,2.0,Tier 1 City,3.0,11.0,18441.0,Large Business,3.0,Yes,Executive,Self Enquiry,2,Basic,,Single,Desktop,Male,2,Yes,0.0
200052,Yes,6.0,Tier 3 City,3.0,6.0,20454.0,Small Business,5.0,No,Manager,Self Enquiry,3,Deluxe,44.0,Married,Mobile,Female,2,No,0.0
200053,Yes,3.0,Tier 1 City,4.0,17.0,24884.0,Small Business,5.0,Yes,Senior Manager,Company Invited,3,Standard,35.0,Divorced,Desktop,Male,5,No,1.0
200054,Yes,1.0,Tier 3 City,4.0,29.0,,Small Business,3.0,Yes,Manager,Self Enquiry,2,Deluxe,,Divorced,Mobile,Female,2,No,0.0
200055,Yes,2.0,Tier 1 City,3.0,6.0,28458.0,Salaried,3.0,Yes,Senior Manager,Company Invited,3,Standard,33.0,Unmarried,Desktop,,2,No,0.0
200056,No,2.0,Tier 3 City,3.0,24.0,24069.0,Salaried,5.0,Yes,Senior Manager,Company Invited,3,Standard,35.0,Divorced,Mobile,Male,4,No,0.0
200057,Yes,4.0,Tier 1 City,3.0,29.0,,Small Business,5.0,Yes,Executive,Self Enquiry,1,Basic,,Divorced,Desktop,Female,4,No,0.0
200058,No,4.0,Tier 1 City,3.0,13.0,20915.0,Salaried,3.0,Yes,Manager,Self Enquiry,2,Deluxe,31.0,Married,Desktop,Male,3,No,0.0
200059,No,2.0,Tier 1 City,4.0,6.0,20993.0,Salaried,3.0,Yes,Manager,Self Enquiry,2,Deluxe,37.0,Married,Desktop,Male,5,No,1.0
200060,Yes,2.0,Tier 1 City,3.0,6.0,21162.0,Small Business,3.0,Yes,Manager,Self Enquiry,2,Deluxe,32.0,Divorced,Desktop,Male,4,No,0.0
